nama,user_rating,rating,original_rating,user_count,bayesian_rating,confidence_category,is_reliable,rating_difference
PT Godong Seger Abadi,474,4.6,4.6,474,4.551665781374494,Sangat tinggi,TRUE,-0.0483342186255058
Pangsit Dan Bakso Cak Wie,37,4.7,4.7,37,4.50279606597661,Sangat rendah,TRUE,-0.1972039340233902
Pangsit Mie & Bakwan Ngagel,255.5,4.6,4.6,255.5,4.533298778296802,Sangat tinggi,TRUE,-0.06670122170319726
"Pangsit Mie Ayam Jakarta ""PAK ALEX""",109,4.5,4.5,109,4.485056703665487,Sedang,TRUE,-0.014943296334513079
Pangsit Mie Ayam Jakarta CAK SLAMET,162,4.5,4.5,162,4.4867015524832015,Tinggi,TRUE,-0.01329844751679854
Pangsit Mie Ayam Jakarta D'Rizky,227,4.7,4.7,227,4.571357360513562,Sangat tinggi,TRUE,-0.12864263948643817
Pangsit Mie Ayam Jakarta Ismoyo,61,4.4,4.4,61,4.467140072327625,Rendah,TRUE,0.06714007232762498
Pangsit Mie Ayam Jakarta PAK DOEL,206,4.6,4.6,206,4.527015789763389,Sangat tinggi,TRUE,-0.07298421023661028
Pangsit Mie Ayam Jakarta Pak No,382,4.6,4.6,382,4.545326867456395,Sangat tinggi,TRUE,-0.05467313254360473
Pangsit Mie Ayam Kotamadya Pak Mardju,1585.5,4.3,4.3,1585.5,4.330182045942603,Sangat tinggi,TRUE,0.03018204594260343
Pangsit Mie Ayam Pak Sam,221,4.6,4.6,221,4.529041253507236,Sangat tinggi,TRUE,-0.07095874649276368
Pangsit Mie Ayam Pak Sudarman,472,4.5,4.5,472,4.4919100410873805,Sangat tinggi,TRUE,-0.008089958912619544
Pangsit Mie Ayam Tenda Biru,1239,4.5,4.5,1239,4.495891432480373,Sangat tinggi,TRUE,-0.004108567519627293
Pangsit Mie Babat Otot Jembatan Merah,320,4.4,4.4,320,4.4399480805639735,Sangat tinggi,TRUE,0.03994808056397314
Pangsit Mie Blauran cik Beng,157,4.7,4.7,157,4.552459176328775,Tinggi,TRUE,-0.14754082367122479
Pangsit Mie Makassar,491,4.6,4.6,491,4.5526795774468365,Sangat tinggi,TRUE,-0.047320422553163155
Pangsit Mie UP Pak Tatung,1433,4.5,4.5,1433,4.496346246802089,Sangat tinggi,TRUE,-0.0036537531979110582
Pangsit Mie Ujung Pandang Pak Kumis,441.5,4.7,4.7,441.5,4.607617342339897,Sangat tinggi,TRUE,-0.092382657660103007
"Pangsit mie "" Masipo""",39,4.4,4.4,39,4.471260244130157,Sangat rendah,TRUE,0.07126024413015664
Pangsit mie Masipo,39,4.4,4.4,39,4.471260244130157,Sangat rendah,TRUE,0.07126024413015664
Paon Dadong 88,107,4.6,4.6,107,4.510074554561926,Sedang,TRUE,-0.08992544543807401
Pasar Pucang Anom,6492,4.3,4.3,6492,4.308441135949594,Sangat tinggi,TRUE,0.00844113594959417
Pelipur luwe (special kotokan kepala manyung & lontong kikil),213,4.1,4.1,213,4.327975206611571,Sangat tinggi,TRUE,0.22797520661157122
Pentol Cempaka,676,4.6,4.6,676,4.56147342794642,Sangat tinggi,TRUE,-0.03852657205357968
Pentol Darurat - Grand City,235,4.7,4.7,235,4.573213340884871,Sangat tinggi,TRUE,-0.12678665911512876
Pentol Gilaaa Gubeng,741,4.6,4.6,741,4.563834792570166,Sangat tinggi,TRUE,-0.03616520742983376
Pentol Gilaaa Plaza Surabaya,39,4.8,4.8,39,4.514774888481622,Sangat rendah,TRUE,-0.28522511151837815
Pentol Singa Undaan,35,4.7,4.7,35,4.501683490890441,Sangat rendah,TRUE,-0.1983165091095591
Pusat Oleh-oleh Bu Rudy,543,4.7,4.7,543,4.618489040603666,Sangat tinggi,TRUE,-0.08151095939633457
RUI Noodle Bar - Dharmahusada,1112,4.8,4.8,1112,4.728569191422047,Sangat tinggi,TRUE,-0.07143080857795248
Radjamie,251,4.7,4.7,251,4.576769145522631,Sangat tinggi,TRUE,-0.12323085447736926
